Timestamp,In which language do you prefer to get your news? [TV/Video],In which language do you prefer to get your news? [Radio/Audio/Podcast],In which language do you prefer to get your news? [Print/Text],How do you **most frequently** get your news?,"Which specific news sources do you most frequently use? Please list them here. For example, Hartford Courant, Record Journal, FOX news, CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",How would you **prefer** to get your news?,"How much do you trust news that comes from... [National news organizations (such as CNN, Univision)]","How much do you trust news that comes from... [Local news organizations (such as the Record-Journal, Patch, the Hartford Courant, CT Mirror)]","How much do you trust news that comes from... [Social media (such as Facebook, Twitter, TikTok, YouTube, Instagram)]",How much do you trust news that comes from... [Family/friends/word of mouth],How much do you agree with the following statements? [I trust the sources of news I get about my community.],How much do you agree with the following statements? [The local news covers issues that are important to me.],"How much do you agree with the following statements? [The local news reflects my beliefs, values, and customs.]",What town do you live in?,Do you identify as Hispanic/Latino/Latinx?,Which country were you born in?,What is your age range?,What is your gender identity?,What language do you speak at home?,Do any of the following describe you?,"Do you have access to a laptop or computer at home, or an internet-enabled device like a smartphone or iPad?",Do you have internet access at home?,Are you registered to vote?,Is there anything else you would like to let us know?
2022/08/06 10:00:59 AM AST,English,,English,News apps,Record journal,TV,Some,A lot,Some,Some,Agree,Agree,Neutral,Wallingford,No,United States ,50-59,Man,English,None of these,Yes,Yes,Yes,"No , you’re doing a great job ! "
2022/08/06 10:11:21 AM AST,Both English and Spanish,I don't use this format,Both English and Spanish,"Friends, social circles, or word of mouth",CNN and Telemundo,News apps,A lot,A lot,Some,Some,Neutral,Agree,Agree,Wallingford,Yes,US,Under 18,Woman,Spanish,I am a student,Yes,Yes,No,
2022/08/06 10:14:13 AM AST,English,English,I don't use this format,"Friends, social circles, or word of mouth",,Social media,Not at all,Some,A lot,A lot,Agree,Neutral,Disagree,Wallingford,Yes,U.S.A,Under 18,Man,Both English and Spanish,I am a student,Yes,Yes,Yes,Nope
2022/08/07 12:39:14 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,CNN,Social media,Some,Some,Not at all,Not at all,Agree,Agree,Neutral,Cheshire,Yes,Puerto Rico,50-59,Man,Spanish,None of these,Yes,Yes,Yes,Good survey
2022/08/07 12:45:45 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Radio,"Telemundo, La Voz y el canal 13",TV,Some,Not at all,A lot,Some,Neutral,Neutral,Disagree,Hartford,Yes,Puerto Rico,60-69,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,Buenas Noticias y no exageraciones 
2022/08/07 12:50:29 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Facebook ,Social media,Some,Some,A lot,Some,Neutral,Agree,Agree,New Britain ,Yes,Puerto Rico ,18-29,Woman,Spanish,I am a student,Yes,Yes,Yes,
2022/08/07 12:51:03 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Facebook ,Social media,Some,Some,A lot,Some,Neutral,Agree,Agree,New Britain ,Yes,Puerto Rico ,18-29,Woman,Spanish,I am a student,Yes,Yes,Yes,
2022/08/07 12:51:36 PM AST,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,Facebook ,Social media,Some,Some,A lot,Some,Neutral,Agree,Agree,New Britain ,Yes,Puerto Rico ,18-29,Woman,Spanish,I am a student,Yes,Yes,Yes,
2022/08/07 12:52:11 PM AST,English,English,English,Social media,,Social media,Some,Some,A lot,A lot,Agree,Neutral,Neutral, New Britain ,No,Poland ,18-29,Woman,English,None of these,Yes,Yes,Yes,
2022/08/07 12:53:18 PM AST,Both English and Spanish,,,TV,Wfsb,TV,Some,Some,Some,A lot,Agree,Agree,Agree,Bristol,Yes,Vega alta,50-59,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,No,No
2022/08/07 12:53:20 PM AST,Spanish,,English,TV,Telemundo,TV,A lot,Some,Some,Some,Neutral,Agree,Agree,New Britain ,Yes,Chicago ILL,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,No
2022/08/07 12:53:35 PM AST,Spanish,,English,TV,Telemundo,TV,A lot,Some,Some,Some,Neutral,Agree,Agree,New Britain ,Yes,Chicago ILL,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,No
2022/08/07 12:56:58 PM AST,Spanish,Spanish,Spanish,TV,Canal 3,TV,Some,Not at all,A lot,Some,Neutral,Agree,Disagree,New Haven,Yes,Puerto Rico,60-69,Man,Both English and Spanish,I am a small business owner,Yes,Yes,Yes,hacer el bien y no moral a quien 
2022/08/07 1:02:06 PM AST,Spanish,Spanish,Spanish,TV,Univision,TV,Some,Not at all,Not at all,Not at all,Disagree,Agree,Disagree,Waterbury,Yes,Republica Domenicana ,18-29,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,No,No
2022/08/07 1:08:54 PM AST,English,English,English,Newspapers,Waterbury News,Newspapers,Not at all,Some,Not at all,Not at all,Agree,Agree,Agree,Scyme ,No,USA,50-59,Man,Both English and Spanish,None of these,No,No,Yes,No
2022/08/07 1:23:31 PM AST,Spanish,Spanish,Spanish,TV,Univision,TV,Some,A lot,A lot,A lot,,,,Berlin ,Yes,Puerto Rico ,40-49,Woman,Spanish,I am a parent of a child under 18 years old,Yes,Yes,Not sure,
2022/08/07 1:32:24 PM AST,English,English,English,Social media,Facebook ,Social media,Some,A lot,Some,Some,Agree,Agree,Agree,Meriden,Yes,PR,30-39,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Prefer not to say,You guys are amazing 
2022/08/07 2:07:27 PM AST,English,English,English,TV,CNn,TV,A lot,A lot,Not at all,Some,Agree,Agree,Agree,Meriden,Yes,Us,50-59,Man,English,I am a parent of a child under 18 years old;None of these,Yes,Yes,Yes,
2022/08/07 2:40:12 PM AST,English,English,English,Newspapers,Record-Journal ,Email/newsletter,Some,A lot,Some,A lot,Agree,Agree,Agree,Meriden,Prefer not to say,China,60-69,Man,English,None of these,Yes,Yes,Prefer not to say,
2022/08/07 2:42:51 PM AST,English,,,TV,All above,TV,Some,Some,Some,Some,Neutral,Neutral,Neutral,New Britain ,Yes,Puerto Rico ,40-49,Woman,English,None of these,Yes,Yes,Yes,No
