Timestamp,¿Está interesado en las noticias a los siguientes niveles geográficos? Seleccione todos los que se apliquen.,¿Cuáles de estos temas le interesan más? Seleccione hasta cinco.,¿Le interesa alguna de estas historias especiales? Seleccione todos los que se apliquen.,"¿Hay algunas historias específicas que le gustaría ver más frecuentemente en las noticias locales? Por ejemplo, artículos de investigación, perfil de negocios, columnas de opinión, caricaturas, etc.",¿En qué lenguaje prefiere recibir sus noticias? [TV/Video],¿En qué lenguaje prefiere recibir sus noticias? [Radio/Audio/Podcast],¿En qué lenguaje prefiere recibir sus noticias? [Impreso/Texto],¿Cómo recibe sus noticias **más frecuentemente**?,"¿Cuáles fuentes de información específicas usa usted más frecuentemente? Por favor anótelos aquí. Por ejemplo, Hartford Courant, Record Journal, noticiero FOX , CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",¿Como **preferiría** recibir sus noticias?,"¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias nacionales (como CNN, Univisión)]","¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias locales (como el Record-Journal, Patch, el Hartford Courant, CT Mirror)]","¿Cuánto confía en las noticias que vienen de… [Medios sociales (como Facebook, Twitter, TikTok, YouTube, Instagram)]",¿Cuánto confía en las noticias que vienen de… [Familiares/amistades/verbalmente],¿Qué tanto está de acuerdo con estas declaraciones? [Confío en las fuentes de noticias que recibo acerca de mi comunidad.],¿Qué tanto está de acuerdo con estas declaraciones? [El noticiero local cubre temas que son importantes para mí.],"¿Qué tanto está de acuerdo con estas declaraciones? [Las noticias locales reflejan mis creencias, valores y costumbres.]",¿En qué pueblo vive?,¿Se identifica como hispano/latino/latinx?,¿En qué país nació?,¿Cuál es su rango de edad?,¿Cuál es su identidad de género?,¿Qué idioma habla en su hogar?,¿Alguno de los siguientes lo describen?,"¿Tiene acceso a una computadora portátil, computadora en su casa o dispositivo con conexión a internet, como un teléfono inteligente o iPad?",¿Tiene acceso a internet en su casa?,¿Está registrado/a para votar?,¿Hay algo más que le gustaría dejarnos saber?
8/5/2022 20:58:06,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Políticas, Música, arte y cultura, Negocios locales, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Finanzas y educación financiera, Bienes raíces y propietario de vivienda, Oportunidades de participación comunitaria, Diversidad y justicia social, Asuntos ambientales y cambio de climático, Tecnología","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria","Artículos sobre logros de jóvenes (Becas, premios, etc). También artículos sobre recursos para estudiantes Latinos que quieren ir a la Universidad. También artículos acera de cambios para mejorar la justicia social.",Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,"Record Journal, CNN, FOX, Univision, y Facebook",Textos,Un poco,Mucho,Para nada,Un poco,De acuerdo,Neutral,De acuerdo,Meriden,Sí,"En los Estados Unidos, pero mis padres son de México.",18-29,Hombre,Español,Soy un estudiante,Sí,Sí,Sí,"Creo que estuvo muy buena está encuesta y que está muy detallada. Ahorita mismo estoy muy ocupado para trabajar en un grupo focal acera de las respuestas de está encuesta, pero tal vez en el futuro estaría dispuesto a participar."
8/7/2022 12:16:25,Nacional,Salud,Temas acerca de familias con niños,No,Español,Español,Español,Aplicaciones de noticias,,Radio,Un poco,Un poco,Un poco,Un poco,Neutral,Neutral,Neutral,New Haven,Sí,,30-39,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Prefiero no decir,
8/7/2022 12:39:22,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Deportes, Políticas, Negocios locales, Eventos locales, Comida",Ninguno de estos,,Español,Español,Español,TV,Ct news,TV,Mucho,Un poco,Mucho,Mucho,De acuerdo,De acuerdo,Neutral,New Britain ,Sí,Puerto Rico ,30-39,Mujer,Español,Ninguno de estos,Sí,Sí,Prefiero no decir,
8/7/2022 12:43:35,Local,"Música, arte y cultura, Educación, Salud, Finanzas y educación financiera, Asuntos ambientales y cambio de climático, Tecnología","Temas sobre adolescentes, Temas acerca de jóvenes",,Español,Español,Español,Medios sociales,,Textos,Mucho,Mucho,Mucho,Mucho,Neutral,Neutral,Neutral,Wallingford,Sí,Puerto Rico ,50-59,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,
8/7/2022 13:16:57,Nacional,"Deportes, Políticas, Oportunidades de participación comunitaria, Diversidad y justicia social",Temas acerca de participacion comunitaria,Historias de personas Hispanics en la comunidad que estan liderando ,Inglés,Inglés,Inglés,TV,"CNN, Facebook, Record Journal and Hartford Courant",TV,Mucho,Mucho,Un poco,Un poco,De acuerdo,De acuerdo,Neutral,Meriden,Sí,USA,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,Keep it up
8/7/2022 13:23:45,Internacional,"Deportes, Políticas",Temas acerca de propietarios de pequeñas empresas,Temas de investigacion,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,TV,CNN,TV,Mucho,Para nada,Para nada,Mucho,Neutral,De acuerdo,En desacuerdo,Bristol,Sí,En el planeta Tierra ,Prefiero no decir,Hombre,Ambos: inglés y español,Ninguno de estos,No,No,Sí,Hacer actividades
8/7/2022 13:24:36,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Deportes, Políticas, Educación, Salud, Eventos locales, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de participacion comunitaria",,Español,Español,Español,TV,Telemundo ,TV,Mucho,Mucho,Un poco,Un poco,De acuerdo,En desacuerdo,Neutral,Berlin,Sí,,60-69,Mujer,Español,Ninguno de estos,Sí,Sí,Prefiero no decir,
8/7/2022 13:31:41,Internacional,Políticas,Temas acerca de participacion comunitaria,Articulos de investigative ,Español,Español,Español,TV,Telemundo ,TV,Mucho,Un poco,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,Waterbury,Sí,Puerto Rico,60-69,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,Me gusta todo por que el gobierno nos esta ayudando 
8/7/2022 13:38:57,Internacional,Viajes y hospitalidad,Ninguno de estos,Noticias,Español,Español,Español,TV,Univision,TV,Mucho,Para nada,Mucho,Mucho,Neutral,Neutral,Neutral,Waterbury,Sí,Puerto Ric,50-59,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,No,No
8/7/2022 13:45:09,Local,Salud,Temas acerca de familias con niños,Comunicacion,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,TV,La voz y Telemundo ,TV,Un poco,Un poco,Un poco,Un poco,De acuerdo,De acuerdo,De acuerdo,Waterbury ,Sí,Puerto Rico,40-49,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,No
8/7/2022 13:48:57,Local,"Deportes, Políticas, Salud, Eventos locales, Viajes y hospitalidad","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas, Temas acerca de jóvenes, Temas acerca de participacion comunitaria",,Español,,,Correo electrónico/boletines informativos,,Correo electrónico/boletines informativos,Mucho,Mucho,Un poco,Un poco,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Puerto Rico ,50-59,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,
8/7/2022 13:51:54,"Local, Estatal, Regional/Nueva Inglaterra/NYC Metro, Nacional, Internacional","Políticas, Música, arte y cultura, Negocios locales, Educación, Salud","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de propietarios de pequeñas empresas",Investigacion,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,TV,Canal 3,TV,Mucho,Mucho,Mucho,Un poco,De acuerdo,De acuerdo,De acuerdo,Groton,Sí,Puerto Rico,50-59,Hombre,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,No
8/7/2022 14:02:02,Internacional,"Educación, Salud, Bienes raíces y propietario de vivienda, Viajes y hospitalidad, Comida","Temas acerca de familias con niños, Temas sobre adolescentes, Temas acerca de las personas de la tercera edad, Temas acerca de jóvenes",Caricaturas ,Español,Español,Español,TV,"Univision, Telemundo y Fox news",Medios sociales,Mucho,Mucho,Mucho,Mucho,De acuerdo,Neutral,En desacuerdo,Groton,Sí,Puerto Rico,50-59,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,No
8/7/2022 14:08:11,Local,"Educación, Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro), Viajes y hospitalidad, Comida",Temas acerca de jóvenes,Opiniones,Español,Español,Español,TV,Telemundo ,TV,Mucho,Para nada,Mucho,Un poco,De acuerdo,De acuerdo,En desacuerdo,Waterbury ,Sí,Puerto Rico,50-59,Mujer,Español,Soy un estudiante,Sí,Sí,Sí,No
8/7/2022 14:16:50,Todos,"Música, arte y cultura, Negocios locales, Educación, Salud, Eventos locales",Todos,Salud mental,Ambos: inglés y español,No uso este formato,Ambos: inglés y español,Periódicos,Récord Journal,TV,Un poco,Mucho,Para nada,Para nada,Neutral,De acuerdo,Neutral,Meriden,Sí,Puerto Rico ,50-59,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,No,Sí,
8/7/2022 14:17:42,Internacional,"Música, arte y cultura",Ninguno de estos,Migrantes,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,Univision ,Medios sociales,Mucho,Mucho,Mucho,Mucho,De acuerdo,De acuerdo,De acuerdo,New Britain,Sí,USA,50-59,Mujer,Español,Ninguno de estos,Sí,Sí,Sí,No
